Category: All categories

Week,Python: (Worldwide),Java: (Worldwide),C++: (Worldwide),R: (Worldwide),JavaScript: (Worldwide)
2021-07-25,46,38,12,11,32
2021-08-01,47,36,13,11,31
2021-08-08,45,36,13,11,32
2021-08-15,48,36,12,11,33
2021-08-22,47,36,13,11,31
2021-08-29,49,39,15,11,32
2021-09-05,54,40,16,12,34
2021-09-12,58,42,17,13,33
2021-09-19,56,41,17,13,33
2021-09-26,60,41,18,14,33
2021-10-03,58,43,18,13,35
2021-10-10,58,42,18,13,33
2021-10-17,62,45,19,14,36
2021-10-24,62,44,18,14,36
2021-10-31,58,39,16,13,33
2021-11-07,66,43,18,14,37
2021-11-14,63,44,19,14,39
2021-11-21,64,42,18,13,36
2021-11-28,62,45,19,14,38
2021-12-05,63,44,19,14,38
2021-12-12,60,46,19,13,40
2021-12-19,54,40,16,11,33
2021-12-26,45,32,13,10,29
2022-01-02,67,46,20,11,44
2022-01-09,71,49,20,12,45
2022-01-16,69,49,21,13,44
2022-01-23,78,51,22,14,49
2022-01-30,76,49,22,14,48
2022-02-06,79,54,23,15,51
2022-02-13,94,58,27,16,62
2022-02-20,88,59,25,15,55
2022-02-27,85,59,26,16,53
2022-03-06,90,57,28,16,53
2022-03-13,86,57,28,14,55
2022-03-20,90,58,28,15,57
2022-03-27,100,63,30,16,62
2022-04-03,96,57,27,16,60
2022-04-10,87,54,24,15,56
2022-04-17,88,59,27,16,60
2022-04-24,96,57,26,16,56
2022-05-01,83,52,22,15,54
2022-05-08,89,56,27,16,57
2022-05-15,82,57,25,14,57
2022-05-22,78,56,25,14,52
2022-05-29,79,51,23,13,55
2022-06-05,79,53,23,14,54
2022-06-12,81,54,24,13,55
2022-06-19,82,52,22,14,55
2022-06-26,82,49,21,13,54
2022-07-03,78,52,21,13,54
2022-07-10,79,50,20,13,52
2022-07-17,77,52,21,13,53
2022-07-24,76,52,21,13,53
2022-07-31,79,51,21,13,53
2022-08-07,76,49,20,12,54
2022-08-14,76,48,21,12,51
2022-08-21,77,53,23,13,52
2022-08-28,76,50,22,13,50
2022-09-04,77,51,24,12,49
2022-09-11,85,57,26,14,55
2022-09-18,90,61,28,15,58
2022-09-25,86,57,27,15,52
2022-10-02,85,53,24,15,49
2022-10-09,91,56,27,16,57
2022-10-16,91,57,27,16,55
2022-10-23,93,51,24,15,51
2022-10-30,87,54,26,15,51
2022-11-06,89,58,27,15,56
2022-11-13,93,61,28,15,56
2022-11-20,84,54,24,14,50
2022-11-27,87,52,26,15,52
2022-12-04,91,54,25,16,52
2022-12-11,90,55,24,14,52
2022-12-18,72,44,21,12,49
2022-12-25,65,40,18,10,42
2023-01-01,76,44,19,12,46
2023-01-08,83,48,21,13,54
2023-01-15,81,51,21,14,53
2023-01-22,84,51,20,15,50
2023-01-29,89,54,22,15,55
2023-02-05,94,55,25,16,57
2023-02-12,90,54,23,14,55
2023-02-19,85,52,23,15,53
2023-02-26,81,53,22,15,53
2023-03-05,83,51,22,15,52
2023-03-12,84,50,22,15,52
2023-03-19,85,53,21,15,53
2023-03-26,85,53,21,15,53
2023-04-02,78,47,20,14,50
2023-04-09,78,50,20,13,49
2023-04-16,76,48,19,14,48
2023-04-23,76,49,18,14,46
2023-04-30,69,44,18,13,42
2023-05-07,70,45,18,13,46
2023-05-14,76,47,18,16,46
2023-05-21,74,47,18,15,48
2023-05-28,71,45,18,13,45
2023-06-04,73,45,17,12,46
2023-06-11,71,46,17,13,47
2023-06-18,70,45,17,12,47
2023-06-25,66,45,15,11,47
2023-07-02,71,42,16,10,45
2023-07-09,75,44,18,11,50
2023-07-16,73,45,16,11,47
2023-07-23,72,44,16,12,48
2023-07-30,68,45,16,11,48
2023-08-06,72,45,17,11,49
2023-08-13,67,40,15,11,41
2023-08-20,74,45,17,12,43
2023-08-27,75,48,17,11,46
2023-09-03,74,45,18,12,46
2023-09-10,76,46,19,12,47
2023-09-17,77,48,21,12,44
2023-09-24,78,46,21,13,45
2023-10-01,77,46,20,14,43
2023-10-08,78,48,21,12,43
2023-10-15,79,47,21,13,44
2023-10-22,80,43,21,13,44
2023-10-29,76,44,19,11,41
2023-11-05,75,44,20,12,41
2023-11-12,74,42,19,12,40
2023-11-19,74,43,19,11,41
2023-11-26,80,43,21,13,43
2023-12-03,75,43,20,12,43
2023-12-10,76,44,19,12,41
2023-12-17,69,40,17,12,42
2023-12-24,54,33,13,9,33
2023-12-31,60,36,14,10,36
2024-01-07,70,44,17,11,42
2024-01-14,73,45,18,12,42
2024-01-21,78,45,19,13,45
2024-01-28,84,50,20,14,49
2024-02-04,87,51,20,14,50
2024-02-11,85,55,19,13,46
2024-02-18,82,51,20,14,47
2024-02-25,81,51,21,13,48
2024-03-03,84,50,21,14,47
2024-03-10,86,50,20,14,47
2024-03-17,86,49,20,14,46
2024-03-24,78,46,18,13,44
2024-03-31,77,48,19,13,43
2024-04-07,74,45,17,14,43
2024-04-14,78,47,18,13,44
2024-04-21,78,46,18,14,42
2024-04-28,72,44,17,13,41
2024-05-05,73,45,17,12,43
2024-05-12,71,46,18,12,45
2024-05-19,74,46,17,12,40
2024-05-26,72,47,17,12,41
2024-06-02,73,44,16,12,42
2024-06-09,69,45,16,11,42
2024-06-16,68,46,14,11,39
2024-06-23,66,43,15,11,40
2024-06-30,62,43,14,10,39
2024-07-07,69,49,15,11,39
2024-07-14,70,44,15,11,40
2024-07-21,68,43,15,10,41
2024-07-28,61,42,15,10,36
2024-08-04,63,43,15,10,37
2024-08-11,63,41,14,10,37
2024-08-18,64,42,15,11,39
2024-08-25,66,42,16,10,38
2024-09-01,72,42,17,11,37
2024-09-08,72,45,18,12,37
2024-09-15,75,44,18,12,37
2024-09-22,66,41,17,11,34
